name,short_name,display_name,sortable_name,slug,children,cfr_references,parent_agency,word_count
Consumer Product Safety Commission,CPSC,Consumer Product Safety Commission,Consumer Product Safety Commission,consumer-product-safety-commission,[],"[{'title': 5, 'chapter': 'LXXI'}, {'title': 16, 'chapter': 'II'}]",Consumer Product Safety Commission,524615
Council of the Inspectors General on Integrity and Efficiency,CIGIE,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,council-of-the-inspectors-general-on-integrity-and-efficiency,[],"[{'title': 5, 'chapter': 'XCVIII'}]",Council of the Inspectors General on Integrity and Efficiency,14344
Court Services and Offender Supervision Agency for the District of Columbia,CSOSA,Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,court-services-and-offender-supervision-agency-for-the-district-of-columbia,[],"[{'title': 5, 'chapter': 'LXX'}, {'title': 28, 'chapter': 'VIII'}]",Court Services and Offender Supervision Agency for the District of Columbia,30397
Defense Nuclear Facilities Safety Board,DNFSB,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,defense-nuclear-facilities-safety-board,[],"[{'title': 10, 'chapter': 'XVII'}]",Defense Nuclear Facilities Safety Board,25108
Department of Defense,DOD,Department of Defense,"Defense, Department of",defense-department,"[{'name': 'Army Corps of Engineers', 'short_name': 'COE', 'display_name': 'Army Corps of Engineers, Department of Defense', 'sortable_name': 'Corps of Engineers', 'slug': 'engineers-corps', 'cfr_references': [{'title': 33, 'chapter': 'II'}, {'title': 36, 'chapter': 'III'}]}, {'name': 'Defense Acquisition Regulations System', 'short_name': 'DARS', 'display_name': 'Defense Acquisition Regulations System, Department of Defense', 'sortable_name': 'Defense Acquisition Regulations System', 'slug': 'defense-acquisition-regulations-system', 'cfr_references': [{'title': 48, 'chapter': '2'}]}, {'name': 'Defense Logistics Agency', 'short_name': 'DLA', 'display_name': 'Defense Logistics Agency, Department of Defense', 'sortable_name': 'Defense Logistics Agency', 'slug': 'defense-logistics-agency', 'cfr_references': [{'title': 32, 'chapter': 'XII'}, {'title': 48, 'chapter': '54'}]}, {'name': 'Department of Navy Acquisition Regulations', 'short_name': '', 'display_name': 'Department of Navy Acquisition Regulations, Department of Defense', 'sortable_name': 'Navy Acquisition Regulations, Department of', 'slug': 'department-of-navy-acquisition-regulations', 'cfr_references': [{'title': 48, 'chapter': '52'}]}, {'name': 'National Geospatial-Intelligence Agency', 'short_name': 'NGA', 'display_name': 'National Geospatial-Intelligence Agency, Department of Defense', 'sortable_name': 'National Geospatial-Intelligence Agency', 'slug': 'national-geospatial-intelligence-agency', 'cfr_references': []}, {'name': 'Office of the Secretary', 'short_name': '', 'display_name': 'Office of the Secretary, Department of Defense', 'sortable_name': 'Secretary, Office of the', 'slug': 'office-of-the-secretary', 'cfr_references': [{'title': 32, 'chapter': 'I'}]}]","[{'title': 2, 'chapter': 'XI'}, {'title': 5, 'chapter': 'XXVI'}, {'title': 32, 'subtitle': 'A'}, {'title': 40, 'chapter': 'VII'}]",Department of Defense,1722700
Delaware River Basin Commission,DRBC,Delaware River Basin Commission,Delaware River Basin Commission,delaware-river-basin-commission,[],"[{'title': 18, 'chapter': 'III'}]",Delaware River Basin Commission,30381
Denali Commission,DC,Denali Commission,Denali Commission,denali-commission,[],"[{'title': 45, 'chapter': 'IX'}]",Denali Commission,5561
Office of Director of National Intelligence,ODNI,Office of Director of National Intelligence,"Director of National Intelligence, Office of",national-intelligence-office-of-the-national-director,[],"[{'title': 5, 'chapter': 'IV'}, {'title': 32, 'chapter': 'XVII'}]",Office of Director of National Intelligence,20911
National Council on Disability,NCD,National Council on Disability,"Disability, National Council on",national-council-on-disability,[],"[{'title': 5, 'chapter': 'C'}, {'title': 34, 'chapter': 'XII'}]",National Council on Disability,13197
East-West Foreign Trade Board,,East-West Foreign Trade Board,East-West Foreign Trade Board,east-west-foreign-trade-board,[],"[{'title': 15, 'chapter': 'XIII'}]",East-West Foreign Trade Board,184
