name,short_name,display_name,sortable_name,slug,children,cfr_references,parent_agency,word_count
Department of Justice,DOJ,Department of Justice,"Justice, Department of",justice-department,"[{'name': 'Bureau of Alcohol, Tobacco, Firearms, and Explosives', 'short_name': 'ATF', 'display_name': 'Bureau of Alcohol, Tobacco, Firearms, and Explosives, Department of Justice', 'sortable_name': 'Alcohol, Tobacco, Firearms, and Explosives, Bureau of', 'slug': 'alcohol-tobacco-firearms-and-explosives-bureau', 'cfr_references': [{'title': 27, 'chapter': 'II'}]}, {'name': 'Bureau of Prisons', 'short_name': 'BOP', 'display_name': 'Bureau of Prisons, Department of Justice', 'sortable_name': 'Prisons, Bureau of', 'slug': 'prisons-bureau', 'cfr_references': [{'title': 28, 'chapter': 'V'}]}, {'name': 'Drug Enforcement Administration', 'short_name': 'DEA', 'display_name': 'Drug Enforcement Administration, Department of Justice', 'sortable_name': 'Drug Enforcement Administration', 'slug': 'drug-enforcement-administration', 'cfr_references': [{'title': 21, 'chapter': 'II'}]}, {'name': 'Executive Office for Immigration Review', 'short_name': 'EOIR', 'display_name': 'Executive Office for Immigration Review, Department of Justice', 'sortable_name': 'Immigration Review, Executive Office for', 'slug': 'executive-office-for-immigration-review', 'cfr_references': [{'title': 8, 'chapter': 'V'}]}, {'name': 'Federal Prison Industries', 'short_name': 'FPI', 'display_name': 'Federal Prison Industries, Department of Justice', 'sortable_name': 'Federal Prison Industries', 'slug': 'federal-prison-industries', 'cfr_references': [{'title': 28, 'chapter': 'III'}]}, {'name': 'Foreign Claims Settlement Commission of the United States', 'short_name': 'FCSC', 'display_name': 'Foreign Claims Settlement Commission of the United States, Department of Justice', 'sortable_name': 'Foreign Claims Settlement Commission of the United States', 'slug': 'foreign-claims-settlement-commission', 'cfr_references': [{'title': 45, 'chapter': 'V'}]}, {'name': 'Offices of Independent Counsel', 'short_name': '', 'display_name': 'Offices of Independent Counsel, Department of Justice', 'sortable_name': 'Independent Counsel, Offices of', 'slug': 'offices-of-independent-counsel', 'cfr_references': [{'title': 28, 'chapter': 'VI'}]}]","[{'title': 2, 'chapter': 'XXVIII'}, {'title': 5, 'chapter': 'XXVIII'}, {'title': 28, 'chapter': 'I'}, {'title': 28, 'chapter': 'XI'}, {'title': 31, 'chapter': 'IX'}, {'title': 40, 'chapter': 'IV'}, {'title': 41, 'chapter': '128'}, {'title': 48, 'chapter': '28'}]",Department of Justice,1291841
Department of Labor,DOL,Department of Labor,"Labor, Department of",labor-department,"[{'name': 'Benefits Review Board', 'short_name': 'BRB', 'display_name': 'Benefits Review Board, Department of Labor', 'sortable_name': 'Benefits Review Board', 'slug': 'benefits-review-board', 'cfr_references': [{'title': 20, 'chapter': 'VII'}]}, {'name': 'Employee Benefits Security Administration', 'short_name': 'EBSA', 'display_name': 'Employee Benefits Security Administration, Department of Labor', 'sortable_name': 'Employee Benefits Security Administration', 'slug': 'employee-benefits-security-administration', 'cfr_references': [{'title': 29, 'chapter': 'XXV'}]}, {'name': ""Employees' Compensation Appeals Board"", 'short_name': 'ECAB', 'display_name': ""Employees' Compensation Appeals Board, Department of Labor"", 'sortable_name': ""Employees' Compensation Appeals Board"", 'slug': 'employees-compensation-appeals-board', 'cfr_references': [{'title': 20, 'chapter': 'IV'}]}, {'name': 'Employment and Training Administration', 'short_name': 'ETA', 'display_name': 'Employment and Training Administration, Department of Labor', 'sortable_name': 'Employment and Training Administration', 'slug': 'employment-and-training-administration', 'cfr_references': [{'title': 20, 'chapter': 'V'}]}, {'name': 'Mine Safety and Health Administration', 'short_name': 'MSHA', 'display_name': 'Mine Safety and Health Administration, Department of Labor', 'sortable_name': 'Mine Safety and Health Administration', 'slug': 'mine-safety-and-health-administration', 'cfr_references': [{'title': 30, 'chapter': 'I'}]}, {'name': 'Occupational Safety and Health Administration', 'short_name': 'OSHA', 'display_name': 'Occupational Safety and Health Administration, Department of Labor', 'sortable_name': 'Occupational Safety and Health Administration', 'slug': 'occupational-safety-and-health-administration', 'cfr_references': [{'title': 29, 'chapter': 'XVII'}]}, {'name': ""Office of Assistant Secretary for Veterans' Employment and Training Service"", 'short_name': '', 'display_name': ""Office of Assistant Secretary for Veterans' Employment and Training Service, Department of Labor"", 'sortable_name': ""Assistant Secretary for Veterans' Employment and Training Service, Office of"", 'slug': ""office-of-assistant-secretary-for-veterans'-employment-and-training-service"", 'cfr_references': [{'title': 20, 'chapter': 'IX'}, {'title': 41, 'chapter': '61'}]}, {'name': 'Office of Federal Contract Compliance Programs', 'short_name': 'OFCCP', 'display_name': 'Office of Federal Contract Compliance Programs, Department of Labor', 'sortable_name': 'Federal Contract Compliance Programs, Office of', 'slug': 'federal-contract-compliance-programs-office', 'cfr_references': [{'title': 41, 'chapter': '60'}]}, {'name': 'Office of Labor-Management Standards', 'short_name': 'LMSO', 'display_name': 'Office of Labor-Management Standards, Department of Labor', 'sortable_name': 'Labor-Management Standards, Office of', 'slug': 'labor-management-standards-office', 'cfr_references': [{'title': 29, 'chapter': 'II'}, {'title': 29, 'chapter': 'IV'}]}, {'name': 'Office of Secretary of Labor', 'short_name': '', 'display_name': 'Office of Secretary of Labor, Department of Labor', 'sortable_name': 'Secretary of Labor, Office of', 'slug': 'office-of-secretary-of-labor', 'cfr_references': [{'title': 29, 'subtitle': 'A'}]}, {'name': ""Office of Workers' Compensation Programs"", 'short_name': 'OWCP', 'display_name': ""Office of Workers' Compensation Programs, Department of Labor"", 'sortable_name': ""Workers' Compensation Programs, Office of"", 'slug': 'workers-compensation-programs-office', 'cfr_references': [{'title': 20, 'chapter': 'I'}, {'title': 20, 'chapter': 'VI'}]}, {'name': 'Wage and Hour Division', 'short_name': 'WHD', 'display_name': 'Wage and Hour Division, Department of Labor', 'sortable_name': 'Wage and Hour Division', 'slug': 'wage-and-hour-division', 'cfr_references': [{'title': 29, 'chapter': 'V'}]}]","[{'title': 2, 'chapter': 'XXIX'}, {'title': 5, 'chapter': 'XLII'}, {'title': 41, 'chapter': '50'}, {'title': 48, 'chapter': '29'}]",Department of Labor,36336
Legal Services Corporation,LSC,Legal Services Corporation,Legal Services Corporation,legal-services-corporation,[],"[{'title': 45, 'chapter': 'XVI'}]",Legal Services Corporation,66944
National Commission on Libraries and Information Science,NCLIS,National Commission on Libraries and Information Science,"Libraries and Information Science, National Commission on",national-commission-on-libraries-and-information-science,[],"[{'title': 45, 'chapter': 'XVII'}]",National Commission on Libraries and Information Science,9724
Library of Congress,LOC,Library of Congress,Library of Congress,library-of-congress,"[{'name': 'Copyright Royalty Board', 'short_name': 'CRB', 'display_name': 'Copyright Royalty Board, Library of Congress', 'sortable_name': 'Copyright Royalty Board', 'slug': 'copyright-royalty-board', 'cfr_references': [{'title': 37, 'chapter': 'III'}]}, {'name': 'U.S. Copyright Office', 'short_name': 'COLC', 'display_name': 'U.S. Copyright Office, Library of Congress', 'sortable_name': 'U.S. Copyright Office', 'slug': 'copyright-office-library-of-congress', 'cfr_references': [{'title': 37, 'chapter': 'II'}]}]","[{'title': 36, 'chapter': 'VII'}]",Library of Congress,12409
Office of Management and Budget,OMB,Office of Management and Budget,"Management and Budget, Office of",management-and-budget-office,"[{'name': 'Office of Federal Procurement Policy', 'short_name': 'OFPP', 'display_name': 'Office of Federal Procurement Policy, Office of Management and Budget', 'sortable_name': 'Office of Federal Procurement Policy', 'slug': 'federal-procurement-policy-office', 'cfr_references': [{'title': 48, 'chapter': '99'}]}]","[{'title': 2, 'subtitle': 'A'}, {'title': 5, 'chapter': 'III'}, {'title': 5, 'chapter': 'LXXVII'}, {'title': 48, 'chapter': '99'}]",Office of Management and Budget,286801
Marine Mammal Commission,MMC,Marine Mammal Commission,Marine Mammal Commission,marine-mammal-commission,[],"[{'title': 50, 'chapter': 'V'}]",Marine Mammal Commission,12645
Merit Systems Protection Board,MSPB,Merit Systems Protection Board,Merit Systems Protection Board,merit-systems-protection-board,[],"[{'title': 5, 'chapter': 'II'}, {'title': 5, 'chapter': 'LXIV'}]",Merit Systems Protection Board,69701
Office for Micronesian Status Negotiations,,Office for Micronesian Status Negotiations,"Micronesian Status Negotiations, Office for",office-for-micronesian-status-negotiations,[],"[{'title': 32, 'chapter': 'XXVII'}]",Office for Micronesian Status Negotiations,3620
Military Compensation and Retirement Modernization Commission,Military Compensation and Retirement Modernization Commission,Military Compensation and Retirement Modernization Commission,Military Compensation and Retirement Modernization Commission,military-compensation-and-retirement-modernization-commission,[],"[{'title': 5, 'chapter': 'XCIX'}]",Military Compensation and Retirement Modernization Commission,3540
"National Commission on Military, National, and Public Service",NCMNPS,"National Commission on Military, National, and Public Service","Military, National, and Public Service, National Commission on",national-commission-on-military-national-and-public-service,[],"[{'title': 1, 'chapter': 'IV', 'part': '426'}]","National Commission on Military, National, and Public Service",9720
Millennium Challenge Corporation,MCC,Millennium Challenge Corporation,Millennium Challenge Corporation,millennium-challenge-corporation,[],"[{'title': 22, 'chapter': 'XIII'}]",Millennium Challenge Corporation,13388
Morris K. Udall and Stewart L. Udall Foundation,Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,Morris K. Udall and Stewart L. Udall Foundation,morris-k-udall-and-stewart-l-udall-foundation,[],"[{'title': 36, 'chapter': 'XVI'}]",Morris K. Udall and Stewart L. Udall Foundation,8414
National Aeronautics and Space Administration,NASA,National Aeronautics and Space Administration,National Aeronautics and Space Administration,national-aeronautics-and-space-administration,[],"[{'title': 2, 'chapter': 'XVIII'}, {'title': 5, 'chapter': 'LIX'}, {'title': 14, 'chapter': 'V'}, {'title': 48, 'chapter': '18'}]",National Aeronautics and Space Administration,276293
Corporation for National and Community Service,CORP/CNCS,Corporation for National and Community Service,"National and Community Service, Corporation for",corporation-for-national-and-community-service,[],"[{'title': 2, 'chapter': 'XXII'}, {'title': 45, 'chapter': 'XII'}, {'title': 45, 'chapter': 'XXV'}]",Corporation for National and Community Service,185300
National Archives and Records Administration,NARA,National Archives and Records Administration,National Archives and Records Administration,national-archives-and-records-administration,"[{'name': 'Information Security Oversight Office', 'short_name': 'ISOO', 'display_name': 'Information Security Oversight Office, National Archives and Records Administration', 'sortable_name': 'Information Security Oversight Office', 'slug': 'information-security-oversight-office', 'cfr_references': [{'title': 32, 'chapter': 'XX'}]}, {'name': 'Office of Federal Register', 'short_name': 'OFR', 'display_name': 'Office of Federal Register, National Archives and Records Administration', 'sortable_name': 'Federal Register, Office of', 'slug': 'federal-register-office', 'cfr_references': [{'title': 1, 'chapter': 'II'}]}]","[{'title': 2, 'chapter': 'XXVI'}, {'title': 5, 'chapter': 'LXVI'}, {'title': 36, 'chapter': 'XII'}]",National Archives and Records Administration,151903
National Capital Planning Commission,NCPC,National Capital Planning Commission,National Capital Planning Commission,national-capital-planning-commission,[],"[{'title': 1, 'chapter': 'IV', 'part': '457'}, {'title': 1, 'chapter': 'VI'}]",National Capital Planning Commission,26569
National Counterintelligence Center,NCTC,National Counterintelligence Center,National Counterintelligence Center,national-counterintelligence-center,[],"[{'title': 32, 'chapter': 'XVIII'}]",National Counterintelligence Center,20298
National Credit Union Administration,NCUA,National Credit Union Administration,National Credit Union Administration,national-credit-union-administration,[],"[{'title': 5, 'chapter': 'LXXXVI'}, {'title': 12, 'chapter': 'VII'}]",National Credit Union Administration,416117
National Crime Prevention and Privacy Compact Council,NCPPCC,National Crime Prevention and Privacy Compact Council,National Crime Prevention and Privacy Compact Council,national-crime-prevention-and-privacy-compact-council,[],"[{'title': 28, 'chapter': 'IX'}]",National Crime Prevention and Privacy Compact Council,5606
Office of National Drug Control Policy,ONDCP,Office of National Drug Control Policy,"National Drug Control Policy, Office of",office-of-national-drug-control-policy,[],"[{'title': 2, 'chapter': 'XXXVI'}, {'title': 21, 'chapter': 'III'}]",Office of National Drug Control Policy,9249
National Foundation on the Arts and the Humanities,ARTS,National Foundation on the Arts and the Humanities,National Foundation on the Arts and the Humanities,national-foundation-on-the-arts-and-the-humanities,"[{'name': 'Institute of Museum and Library Services', 'short_name': '', 'display_name': 'Institute of Museum and Library Services, National Foundation on the Arts and the Humanities', 'sortable_name': 'Museum and Library Services, Institute of', 'slug': 'institute-of-museum-and-library-services', 'cfr_references': [{'title': 2, 'chapter': 'XXXI'}, {'title': 5, 'chapter': 'LXVII'}]}, {'name': 'National Endowment for the Arts', 'short_name': 'NEA', 'display_name': 'National Endowment for the Arts, National Foundation on the Arts and the Humanities', 'sortable_name': 'National Endowment for the Arts', 'slug': 'national-endowment-for-the-arts', 'cfr_references': [{'title': 2, 'chapter': 'XXXII'}, {'title': 5, 'chapter': 'LV'}]}, {'name': 'National Endowment for the Humanities', 'short_name': None, 'display_name': 'National Endowment for the Humanities, National Foundation on the Arts and the Humanities', 'sortable_name': 'National Endowment for the Humanities', 'slug': 'national-endowment-for-the-humanities', 'cfr_references': [{'title': 2, 'chapter': 'XXXIII'}, {'title': 5, 'chapter': 'LVI'}]}]","[{'title': 45, 'chapter': 'XI'}]",National Foundation on the Arts and the Humanities,126340
National Labor Relations Board,NLRB,National Labor Relations Board,National Labor Relations Board,national-labor-relations-board,[],"[{'title': 5, 'chapter': 'LXI'}, {'title': 29, 'chapter': 'I'}]",National Labor Relations Board,81166
National Mediation Board,NMB,National Mediation Board,National Mediation Board,national-mediation-board,[],"[{'title': 5, 'chapter': 'CI'}, {'title': 29, 'chapter': 'X'}]",National Mediation Board,14338
National Railroad Adjustment Board,,National Railroad Adjustment Board,National Railroad Adjustment Board,national-railroad-adjustment-board,[],"[{'title': 29, 'chapter': 'III'}]",National Railroad Adjustment Board,1155
National Railroad Passenger Corporation,AMTRAK,National Railroad Passenger Corporation,National Railroad Passenger Corporation,national-railroad-passenger-corporation,[],"[{'title': 49, 'chapter': 'VII'}]",National Railroad Passenger Corporation,9128
National Science Foundation,NSF,National Science Foundation,National Science Foundation,national-science-foundation,[],"[{'title': 2, 'chapter': 'XXV'}, {'title': 5, 'chapter': 'XLIII'}, {'title': 45, 'chapter': 'VI'}, {'title': 48, 'chapter': '25'}]",National Science Foundation,127366
National Transportation Safety Board,NTSB,National Transportation Safety Board,National Transportation Safety Board,national-transportation-safety-board,[],"[{'title': 49, 'chapter': 'VIII'}]",National Transportation Safety Board,56216
Office of Navajo and Hopi Indian Relocation,ONHIR,Office of Navajo and Hopi Indian Relocation,"Navajo and Hopi Indian Relocation, Office of",navajo-and-hopi-indian-relocation-office,[],"[{'title': 25, 'chapter': 'IV'}]",Office of Navajo and Hopi Indian Relocation,50316
Neighborhood Reinvestment Corporation,NEIGHBOR,Neighborhood Reinvestment Corporation,Neighborhood Reinvestment Corporation,neighborhood-reinvestment-corporation,[],"[{'title': 24, 'chapter': 'XXV'}]",Neighborhood Reinvestment Corporation,4030
Northeast Interstate Low-Level Radioactive Waste Commission,,Northeast Interstate Low-Level Radioactive Waste Commission,Northeast Interstate Low-Level Radioactive Waste Commission,northeast-interstate-low-level-radioactive-waste-commission,[],"[{'title': 10, 'chapter': 'XVIII'}]",Northeast Interstate Low-Level Radioactive Waste Commission,1768
Nuclear Regulatory Commission,NRC,Nuclear Regulatory Commission,Nuclear Regulatory Commission,nuclear-regulatory-commission,[],"[{'title': 2, 'chapter': 'XX'}, {'title': 5, 'chapter': 'XLVIII'}, {'title': 10, 'chapter': 'I'}, {'title': 48, 'chapter': '20'}]",Nuclear Regulatory Commission,1257111
Nuclear Waste Technical Review Board,NWTRB,Nuclear Waste Technical Review Board,Nuclear Waste Technical Review Board,nuclear-waste-technical-review-board,[],"[{'title': 10, 'chapter': 'XIII'}]",Nuclear Waste Technical Review Board,9171
Occupational Safety and Health Review Commission,OSHRC,Occupational Safety and Health Review Commission,Occupational Safety and Health Review Commission,occupational-safety-and-health-review-commission,[],"[{'title': 29, 'chapter': 'XX'}]",Occupational Safety and Health Review Commission,44228
Oklahoma City National Memorial Trust,,Oklahoma City National Memorial Trust,Oklahoma City National Memorial Trust,oklahoma-city-national-memorial-trust,[],"[{'title': 36, 'chapter': 'XV'}]",Oklahoma City National Memorial Trust,534
Peace Corps,PC,Peace Corps,Peace Corps,peace-corps,[],"[{'title': 2, 'chapter': 'XXXVII'}, {'title': 22, 'chapter': 'III'}]",Peace Corps,42937
Pennsylvania Avenue Development Corporation,,Pennsylvania Avenue Development Corporation,Pennsylvania Avenue Development Corporation,pennsylvania-avenue-development-corporation,[],"[{'title': 36, 'chapter': 'IX'}]",Pennsylvania Avenue Development Corporation,36531
Pension Benefit Guaranty Corporation,PBGC,Pension Benefit Guaranty Corporation,Pension Benefit Guaranty Corporation,pension-benefit-guaranty-corporation,[],"[{'title': 29, 'chapter': 'XL'}]",Pension Benefit Guaranty Corporation,234859
Office of Personnel Management,OPM,Office of Personnel Management,"Personnel Management, Office of",personnel-management-office,[],"[{'title': 5, 'chapter': 'I'}, {'title': 5, 'chapter': 'IV'}, {'title': 5, 'chapter': 'XXXV'}, {'title': 45, 'chapter': 'VIII'}, {'title': 48, 'chapter': '16'}, {'title': 48, 'chapter': '17'}, {'title': 48, 'chapter': '21'}]",Office of Personnel Management,1046606
Postal Regulatory Commission,PRC,Postal Regulatory Commission,Postal Regulatory Commission,postal-regulatory-commission,[],"[{'title': 5, 'chapter': 'XLVI'}, {'title': 39, 'chapter': 'III'}]",Postal Regulatory Commission,112609
United States Postal Service,USPS,United States Postal Service,"Postal Service, United States",postal-service,[],"[{'title': 5, 'chapter': 'LX'}, {'title': 39, 'chapter': 'I'}]",United States Postal Service,216854
Presidio Trust,PT,Presidio Trust,Presidio Trust,presidio-trust,[],"[{'title': 36, 'chapter': 'X'}]",Presidio Trust,45521
Privacy and Civil Liberties Oversight Board,PCLOB,Privacy and Civil Liberties Oversight Board,Privacy and Civil Liberties Oversight Board,privacy-and-civil-liberties-oversight-board,[],"[{'title': 6, 'chapter': 'X'}]",Privacy and Civil Liberties Oversight Board,10712
Railroad Retirement Board,RRB,Railroad Retirement Board,Railroad Retirement Board,railroad-retirement-board,[],"[{'title': 20, 'chapter': 'II'}]",Railroad Retirement Board,282450
Securities and Exchange Commission,SEC,Securities and Exchange Commission,Securities and Exchange Commission,securities-and-exchange-commission,[],"[{'title': 5, 'chapter': 'XXXIV'}, {'title': 17, 'chapter': 'II'}]",Securities and Exchange Commission,1578826
Selective Service System,SSS,Selective Service System,Selective Service System,selective-service-system,[],"[{'title': 32, 'chapter': 'XVI'}]",Selective Service System,52998
Small Business Administration,SBA,Small Business Administration,Small Business Administration,small-business-administration,[],"[{'title': 2, 'chapter': 'XXVII'}, {'title': 13, 'chapter': 'I'}]",Small Business Administration,494705
Smithsonian Institution,,Smithsonian Institution,Smithsonian Institution,smithsonian-institution,[],"[{'title': 36, 'chapter': 'V'}]",Smithsonian Institution,2774
Social Security Administration,SSA,Social Security Administration,Social Security Administration,social-security-administration,[],"[{'title': 2, 'chapter': 'XXIII'}, {'title': 20, 'chapter': 'III'}, {'title': 48, 'chapter': '23'}]",Social Security Administration,897538
Office of Special Counsel,OSC,Office of Special Counsel,"Special Counsel, Office of",special-counsel-office,[],"[{'title': 5, 'chapter': 'VIII'}, {'title': 5, 'chapter': 'CII'}]",Office of Special Counsel,15450
Department of State,DOS,Department of State,"State, Department of",state-department,[],"[{'title': 2, 'chapter': 'VI'}, {'title': 22, 'chapter': 'I'}, {'title': 28, 'chapter': 'XI'}, {'title': 48, 'chapter': '6'}]",Department of State,541143
Surface Transportation Board,STB,Surface Transportation Board,Surface Transportation Board,surface-transportation-board,[],"[{'title': 49, 'chapter': 'X'}]",Surface Transportation Board,317790
Susquehanna River Basin Commission,SRBC,Susquehanna River Basin Commission,Susquehanna River Basin Commission,susquehanna-river-basin-commission,[],"[{'title': 18, 'chapter': 'VIII'}]",Susquehanna River Basin Commission,26845
Tennessee Valley Authority,TVA,Tennessee Valley Authority,Tennessee Valley Authority,tennessee-valley-authority,[],"[{'title': 5, 'chapter': 'LXIX'}, {'title': 18, 'chapter': 'XIII'}]",Tennessee Valley Authority,106715
Department of Transportation,DOT,Department of Transportation,"Transportation, Department of",transportation-department,"[{'name': 'Federal Aviation Administration', 'short_name': 'FAA', 'display_name': 'Federal Aviation Administration, Department of Transportation', 'sortable_name': 'Federal Aviation Administration', 'slug': 'federal-aviation-administration', 'cfr_references': [{'title': 14, 'chapter': 'I'}]}, {'name': 'Federal Aviation Administration Commercial Space Transportation', 'short_name': 'AST', 'display_name': 'Federal Aviation Administration Commercial Space Transportation, Department of Transportation', 'sortable_name': 'Commercial Space Transportation, Federal Aviation Administration', 'slug': 'commercial-space-transportation-office', 'cfr_references': [{'title': 14, 'chapter': 'III'}]}, {'name': 'Federal Highway Administration', 'short_name': 'FHWA', 'display_name': 'Federal Highway Administration, Department of Transportation', 'sortable_name': 'Federal Highway Administration', 'slug': 'federal-highway-administration', 'cfr_references': [{'title': 23, 'chapter': 'I'}, {'title': 23, 'chapter': 'II'}]}, {'name': 'Federal Motor Carrier Safety Administration', 'short_name': 'FMCSA', 'display_name': 'Federal Motor Carrier Safety Administration, Department of Transportation', 'sortable_name': 'Federal Motor Carrier Safety Administration', 'slug': 'federal-motor-carrier-safety-administration', 'cfr_references': [{'title': 49, 'chapter': 'III'}]}, {'name': 'Federal Railroad Administration', 'short_name': 'FRA', 'display_name': 'Federal Railroad Administration, Department of Transportation', 'sortable_name': 'Federal Railroad Administration', 'slug': 'federal-railroad-administration', 'cfr_references': [{'title': 49, 'chapter': 'II'}]}, {'name': 'Federal Transit Administration', 'short_name': 'FTA', 'display_name': 'Federal Transit Administration, Department of Transportation', 'sortable_name': 'Federal Transit Administration', 'slug': 'federal-transit-administration', 'cfr_references': [{'title': 49, 'chapter': 'VI'}]}, {'name': 'Great Lakes St. Lawrence Seaway Development Corporation', 'short_name': 'SAINT', 'display_name': 'Great Lakes St. Lawrence Seaway Development Corporation, Department of Transportation', 'sortable_name': 'Great Lakes St. Lawrence Seaway Development Corporation', 'slug': 'great-lakes-st-lawrence-seaway-development-corporation', 'cfr_references': [{'title': 33, 'chapter': 'IV'}]}, {'name': 'Maritime Administration', 'short_name': 'MARAD', 'display_name': 'Maritime Administration, Department of Transportation', 'sortable_name': 'Maritime Administration', 'slug': 'maritime-administration', 'cfr_references': [{'title': 46, 'chapter': 'II'}]}, {'name': 'National Highway Traffic Safety Administration', 'short_name': 'NHTSA', 'display_name': 'National Highway Traffic Safety Administration, Department of Transportation', 'sortable_name': 'National Highway Traffic Safety Administration', 'slug': 'national-highway-traffic-safety-administration', 'cfr_references': [{'title': 23, 'chapter': 'II'}, {'title': 23, 'chapter': 'III'}, {'title': 47, 'chapter': 'IV'}, {'title': 49, 'chapter': 'V'}]}, {'name': 'Office of Secretary (Aviation Proceedings)', 'short_name': None, 'display_name': 'Office of Secretary (Aviation Proceedings), Department of Transportation', 'sortable_name': 'Secretary (Aviation Proceedings), Office of', 'slug': 'office-of-secretary-(aviation-proceedings)', 'cfr_references': [{'title': 14, 'chapter': 'II'}]}, {'name': 'Office of Secretary of Transportation', 'short_name': '', 'display_name': 'Office of Secretary of Transportation, Department of Transportation', 'sortable_name': 'Secretary of Transportation, Office of', 'slug': 'office-of-secretary-of-transportation', 'cfr_references': [{'title': 49, 'subtitle': 'A'}]}, {'name': 'Pipeline and Hazardous Materials Safety Administration', 'short_name': 'PHMSA', 'display_name': 'Pipeline and Hazardous Materials Safety Administration, Department of Transportation', 'sortable_name': 'Pipeline and Hazardous Materials Safety Administration', 'slug': 'pipeline-and-hazardous-materials-safety-administration', 'cfr_references': [{'title': 49, 'chapter': 'I'}]}]","[{'title': 2, 'chapter': 'XII'}, {'title': 5, 'chapter': 'L'}, {'title': 44, 'chapter': 'IV'}, {'title': 48, 'chapter': '12'}]",Department of Transportation,55831
Department of Treasury,TREAS,Department of Treasury,"Treasury, Department of the",treasury-department,"[{'name': 'Alcohol and Tobacco Tax and Trade Bureau', 'short_name': 'TTB', 'display_name': 'Alcohol and Tobacco Tax and Trade Bureau, Department of Treasury', 'sortable_name': 'Alcohol and Tobacco Tax and Trade Bureau', 'slug': 'alcohol-and-tobacco-tax-and-trade-bureau', 'cfr_references': [{'title': 27, 'chapter': 'I'}]}, {'name': 'Bureau of Engraving and Printing', 'short_name': 'BEP', 'display_name': 'Bureau of Engraving and Printing, Department of Treasury', 'sortable_name': 'Engraving and Printing, Bureau of', 'slug': 'engraving-and-printing-bureau', 'cfr_references': [{'title': 31, 'chapter': 'VI'}]}, {'name': 'Bureau of the Fiscal Service', 'short_name': '', 'display_name': 'Bureau of the Fiscal Service, Department of Treasury', 'sortable_name': 'Fiscal Service, Bureau of', 'slug': 'bureau-of-the-fiscal-service', 'cfr_references': [{'title': 31, 'chapter': 'II', 'subchapter': 'A'}]}, {'name': 'Community Development Financial Institutions Fund', 'short_name': 'CDFI', 'display_name': 'Community Development Financial Institutions Fund, Department of Treasury', 'sortable_name': 'Community Development Financial Institutions Fund', 'slug': 'community-development-financial-institutions-fund', 'cfr_references': [{'title': 12, 'chapter': 'XVIII'}]}, {'name': 'Comptroller of the Currency', 'short_name': 'OCC', 'display_name': 'Comptroller of the Currency, Department of Treasury', 'sortable_name': 'Comptroller of the Currency', 'slug': 'comptroller-of-the-currency', 'cfr_references': [{'title': 12, 'chapter': 'I'}]}, {'name': 'Financial Crimes Enforcement Network', 'short_name': 'TD', 'display_name': 'Financial Crimes Enforcement Network, Department of Treasury', 'sortable_name': 'Financial Crimes Enforcement Network', 'slug': 'financial-crimes-enforcement-network', 'cfr_references': [{'title': 31, 'chapter': 'X'}]}, {'name': 'Fiscal Service', 'short_name': 'FS', 'display_name': 'Fiscal Service, Department of Treasury', 'sortable_name': 'Fiscal Service', 'slug': 'fiscal-service', 'cfr_references': [{'title': 31, 'chapter': 'II'}]}, {'name': 'Internal Revenue Service', 'short_name': 'IRS', 'display_name': 'Internal Revenue Service, Department of Treasury', 'sortable_name': 'Internal Revenue Service', 'slug': 'internal-revenue-service', 'cfr_references': [{'title': 26, 'chapter': 'I'}]}, {'name': 'Monetary Offices', 'short_name': '', 'display_name': 'Monetary Offices, Department of Treasury', 'sortable_name': 'Monetary Offices', 'slug': 'monetary-offices', 'cfr_references': [{'title': 31, 'chapter': 'I'}]}, {'name': 'Office of Financial Research', 'short_name': '', 'display_name': 'Office of Financial Research, Department of Treasury', 'sortable_name': 'Financial Research, Office of', 'slug': 'office-of-financial-research', 'cfr_references': [{'title': 12, 'chapter': 'XVI'}]}, {'name': 'Office of Foreign Assets Control', 'short_name': 'OFAC', 'display_name': 'Office of Foreign Assets Control, Department of Treasury', 'sortable_name': 'Foreign Assets Control, Office of', 'slug': 'foreign-assets-control-office', 'cfr_references': [{'title': 31, 'chapter': 'V'}]}, {'name': 'Office of Investment Security', 'short_name': 'IIO', 'display_name': 'Office of Investment Security, Department of Treasury', 'sortable_name': 'Investment Security, Office of', 'slug': 'investment-security-office', 'cfr_references': [{'title': 31, 'chapter': 'VIII'}]}, {'name': 'Office of Secretary of the Treasury', 'short_name': '', 'display_name': 'Office of Secretary of the Treasury, Department of Treasury', 'sortable_name': 'Secretary of the Treasury, Office of', 'slug': 'office-of-secretary-of-the-treasury', 'cfr_references': [{'title': 31, 'subtitle': 'A'}]}]","[{'title': 2, 'chapter': 'X'}, {'title': 5, 'chapter': 'XXI'}, {'title': 12, 'chapter': 'XV'}, {'title': 17, 'chapter': 'IV'}, {'title': 31, 'chapter': 'IX'}, {'title': 48, 'chapter': '10'}]",Department of Treasury,74532
Office of United States Trade Representative,USTR,Office of United States Trade Representative,"United States Trade Representative, Office of",trade-representative-office-of-united-states,[],"[{'title': 15, 'chapter': 'XX'}]",Office of United States Trade Representative,33764
